Invoice ID,Date,Time,Branch,Product ID,Quantity,Total,Tax 5%,Payment
148-82-2527,2019-03-05,13:44,C,HL81,10,127.26,6.06,Credit card
149-14-0304,2019-02-06,14:24,C,HB106,8,239.4,11.4,Cash
149-15-7606,2019-03-06,15:31,B,ST115,9,352.674,16.794,Ewallet
149-61-1929,2019-01-19,14:08,A,ST113,10,673.995,32.095,Credit card
149-71-6266,2019-01-28,12:43,B,ST5,9,737.7615,35.1315,Cash
150-89-8043,2019-02-14,15:04,A,ST57,3,140.6475,6.6975,Cash
151-16-1484,2019-02-13,12:38,A,EA42,4,135.45,6.45,Ewallet
151-27-8496,2019-01-19,11:43,C,EA152,4,235.746,11.226,Ewallet
151-33-7434,2019-02-04,20:43,B,FB171,1,71.1585,3.3885,Credit card
152-03-4217,2019-03-17,11:55,B,HL134,9,106.596,5.076,Credit card
152-08-9985,2019-03-12,12:09,B,HB20,9,608.202,28.962,Credit card
152-68-2907,2019-02-15,13:30,A,FB103,3,164.43,7.83,Credit card
153-58-4872,2019-03-01,15:32,C,FB64,4,314.538,14.978,Ewallet
154-74-7179,2019-02-26,19:24,B,ST46,1,57.1725,2.7225,Ewallet
154-87-7367,2019-03-15,14:04,C,HL137,8,548.184,26.104,Ewallet
155-45-3814,2019-03-19,15:29,C,EA103,8,743.82,35.42,Ewallet
156-20-0370,2019-03-10,18:10,B,EA164,1,26.7225,1.2725,Credit card
156-95-3964,2019-03-25,15:19,A,FB136,4,232.638,11.078,Ewallet
157-13-5295,2019-03-09,18:24,A,HB42,10,545.37,25.97,Ewallet
160-22-2687,2019-01-23,14:21,A,HB128,5,503.7375,23.9875,Ewallet
162-48-8011,2019-02-10,15:10,A,FB9,5,234.0975,11.1475,Cash
162-65-8559,2019-01-21,20:13,C,FB127,1,72.429,3.449,Cash
163-56-7055,2019-03-26,19:20,C,FA13,1,51.1455,2.4355,Cash
166-19-2553,2019-01-18,17:26,A,ST155,6,561.078,26.718,Cash
169-52-4504,2019-03-14,14:13,A,EA108,3,49.4235,2.3535,Credit card
172-42-8274,2019-03-02,18:18,B,EA161,2,80.367,3.827,Credit card
173-50-1108,2019-02-13,12:14,B,ST95,4,84.756,4.036,Credit card
173-57-2300,2019-03-13,12:51,C,ST125,2,153.048,7.288,Cash
173-82-9529,2019-01-26,14:51,B,FA65,10,398.475,18.975,Cash
174-36-3675,2019-02-14,17:29,C,FB49,2,208.677,9.937,Cash
174-64-0215,2019-03-05,17:49,B,ST130,10,732.27,34.87,Credit card
174-75-0888,2019-03-14,12:32,B,EA95,9,203.931,9.711,Cash
175-54-2529,2019-03-03,17:01,A,FB31,8,186.228,8.868,Credit card
176-64-7711,2019-03-27,19:11,B,FB126,3,101.808,4.848,Credit card
176-78-1170,2019-01-26,15:11,C,HB130,3,106.5015,5.0715,Ewallet
181-82-6255,2019-02-08,10:58,B,HL143,6,103.131,4.911,Cash
181-94-6432,2019-02-05,19:05,C,FA50,2,145.593,6.933,Ewallet
182-52-7000,2019-01-01,20:26,A,ST127,4,113.568,5.408,Ewallet
182-69-8360,2019-01-30,13:32,B,EA68,4,99.33,4.73,Credit card
182-88-2763,2019-03-20,19:28,B,FB114,3,251.7165,11.9865,Credit card
183-21-3799,2019-02-19,15:14,C,EA114,9,733.6035,34.9335,Ewallet
183-56-6882,2019-02-06,10:42,C,FB5,4,417.564,19.884,Ewallet
186-09-3669,2019-01-22,10:57,C,HB68,1,85.5855,4.0755,Ewallet
186-43-8965,2019-02-24,10:10,A,HL130,2,100.128,4.768,Credit card
186-71-5196,2019-03-27,16:30,A,FB156,2,167.034,7.954,Ewallet
186-79-9562,2019-03-29,14:06,B,HB103,7,527.5095,25.1195,Cash
187-83-5490,2019-01-31,13:47,A,EA78,4,87.234,4.154,Cash
188-55-0967,2019-01-15,15:01,B,HB92,10,697.935,33.235,Credit card
189-08-9157,2019-01-08,16:17,C,FA21,9,299.8485,14.2785,Credit card
189-17-4241,2019-03-10,12:17,A,FA3,2,184.107,8.767,Credit card
189-40-5216,2019-01-09,11:40,C,EA165,7,708.3195,33.7295,Cash
189-52-0236,2019-03-14,12:07,A,EA88,7,731.6925,34.8425,Cash
189-55-2313,2019-01-31,10:33,C,FA146,10,652.89,31.09,Ewallet
189-98-2939,2019-03-01,13:22,C,FA14,9,742.2975,35.3475,Cash
190-14-3147,2019-02-23,20:43,B,HB96,4,75.474,3.594,Ewallet
190-59-3964,2019-02-03,14:35,B,FB143,5,247.59,11.79,Credit card
191-10-6171,2019-01-25,13:18,B,FA22,7,291.207,13.867,Cash
191-29-0321,2019-02-27,18:57,B,FA128,10,207.585,9.885,Credit card
192-98-7397,2019-01-08,14:11,C,FA77,1,13.419,0.639,Ewallet
195-06-0432,2019-01-13,12:55,A,HL154,3,255.1815,12.1515,Credit card
196-01-2849,2019-02-10,13:56,C,FA126,7,539.343,25.683,Cash
197-77-7132,2019-01-12,18:22,B,EA118,8,769.104,36.624,Ewallet
198-66-9832,2019-02-04,19:38,B,FA97,2,151.284,7.204,Cash
198-84-7132,2019-01-02,13:40,B,FA73,9,383.7645,18.2745,Cash
199-75-8169,2019-03-06,12:27,A,ST12,10,166.005,7.905,Credit card
200-16-5952,2019-01-17,16:46,C,FB139,2,137.865,6.565,Cash
200-40-6154,2019-02-09,11:45,B,HL151,6,415.233,19.773,Cash
201-63-8275,2019-02-17,16:50,C,ST135,7,499.7265,23.7965,Ewallet
201-86-2184,2019-02-02,19:40,B,EA67,7,193.011,9.191,Cash
207-73-1363,2019-03-01,12:15,B,HB85,2,145.971,6.951,Ewallet
209-61-0206,2019-01-05,17:29,A,HL84,5,225.2775,10.7275,Ewallet
210-30-7976,2019-03-14,11:16,B,FA136,4,93.744,4.464,Ewallet
210-57-1719,2019-02-05,12:34,B,HB83,9,550.368,26.208,Cash
210-67-5886,2019-02-05,10:41,C,HB24,3,309.3615,14.7315,Credit card
210-74-9613,2019-03-16,15:33,C,FA135,4,408.492,19.452,Ewallet
211-05-0490,2019-03-03,13:42,C,EA48,5,272.58,12.98,Cash
211-30-9270,2019-01-28,15:16,C,HB43,5,91.4025,4.3525,Credit card
212-62-1842,2019-03-28,16:44,A,FB18,6,367.038,17.478,Cash
213-32-1216,2019-01-23,10:28,A,EA92,6,416.178,19.818,Cash
213-72-6612,2019-03-20,15:56,A,FB40,2,90.825,4.325,Cash
214-17-6927,2019-02-07,18:23,C,FB23,6,103.824,4.944,Ewallet
214-30-2776,2019-03-11,19:44,B,EA162,5,181.0725,8.6225,Credit card
217-58-1179,2019-01-05,11:25,A,HL39,4,263.13,12.53,Cash
218-59-9410,2019-03-29,16:54,A,HL95,3,228.123,10.863,Ewallet
219-22-9386,2019-03-09,17:26,B,ST22,9,944.622,44.982,Credit card
219-61-4139,2019-01-23,17:16,C,EA98,1,87.234,4.154,Ewallet
220-28-1851,2019-03-01,18:14,A,HL86,2,72.933,3.473,Ewallet
220-68-6701,2019-03-17,16:36,A,HL129,4,325.374,15.494,Cash
221-25-5073,2019-03-04,10:39,A,FB169,4,313.572,14.932,Cash
222-42-0244,2019-01-28,13:53,B,HB124,9,681.4395,32.4495,Credit card
225-32-0908,2019-01-26,19:54,C,ST17,10,471.03,22.43,Ewallet
225-98-1496,2019-03-02,13:01,C,FA17,3,85.113,4.053,Credit card
226-31-3081,2019-03-08,10:29,C,EA1,5,80.22,3.82,Cash
226-34-0034,2019-01-10,11:10,B,EA154,4,57.876,2.756,Ewallet
226-71-3580,2019-01-31,12:02,C,ST51,9,224.4375,10.6875,Cash
227-03-5010,2019-03-22,19:20,A,HL5,8,441.756,21.036,Credit card
227-07-4446,2019-02-10,20:51,C,EA54,10,820.365,39.065,Cash
227-50-3718,2019-03-04,12:23,A,HB88,5,76.755,3.655,Cash
227-78-1148,2019-02-15,12:44,B,FA16,7,535.374,25.494,Cash
228-96-1411,2019-03-04,20:39,C,FB6,8,829.08,39.48,Cash
232-11-3025,2019-01-24,10:04,A,ST13,10,827.085,39.385,Cash
232-16-2483,2019-01-07,12:28,C,ST7,1,71.526,3.406,Ewallet
233-34-0817,2019-02-15,11:21,C,EA81,1,103.782,4.942,Cash
233-67-5758,2019-01-29,13:46,C,HB152,1,42.3675,2.0175,Ewallet
234-03-4040,2019-03-03,12:25,B,FB81,10,767.025,36.525,Credit card
234-36-2483,2019-02-15,13:51,B,HB129,6,362.817,17.277,Cash
234-65-2137,2019-01-16,13:32,C,HL25,10,1003.59,47.79,Cash
235-06-8510,2019-01-24,20:59,C,HL147,3,270.018,12.858,Ewallet
235-46-8343,2019-02-14,11:26,C,FB76,10,290.43,13.83,Credit card
236-27-1144,2019-03-26,10:31,C,FB90,9,154.1295,7.3395,Ewallet
236-86-3015,2019-02-04,13:38,C,HL70,1,14.679,0.699,Ewallet
237-01-6122,2019-02-01,20:31,C,HL17,9,763.4655,36.3555,Credit card
237-44-6163,2019-01-24,17:43,A,EA136,8,88.704,4.224,Cash
238-45-6950,2019-03-01,20:03,B,FB131,1,56.406,2.686,Ewallet
238-49-0436,2019-03-27,13:48,A,HB30,8,272.664,12.984,Credit card
239-10-7476,2019-01-21,16:37,A,HL22,6,491.085,23.385,Ewallet
239-36-3640,2019-01-31,13:44,B,EA33,6,285.705,13.605,Ewallet
239-48-4278,2019-03-10,19:35,A,FB97,7,74.4555,3.5455,Ewallet
241-11-2261,2019-01-10,10:33,B,FA100,7,586.971,27.951,Credit card
241-72-9525,2019-02-16,12:21,B,ST27,10,545.055,25.955,Cash
241-96-5076,2019-01-08,12:58,B,HL105,2,103.11,4.91,Credit card
242-11-3142,2019-02-24,19:57,B,FA123,2,175.917,8.377,Cash
242-55-6721,2019-03-07,11:49,B,HL9,2,33.936,1.616,Ewallet
243-47-2663,2019-01-28,16:43,C,EA91,6,118.251,5.631,Credit card
243-55-8457,2019-02-27,11:40,A,FB159,10,781.62,37.22,Ewallet
244-08-0162,2019-01-02,13:00,B,HB65,10,359.205,17.105,Cash
246-11-3901,2019-02-15,12:12,C,EA85,10,344.4,16.4,Cash
246-55-6923,2019-03-10,15:06,C,HL142,9,338.2155,16.1055,Credit card
247-11-2470,2019-03-01,16:23,A,FA136,4,93.744,4.464,Credit card
249-42-3782,2019-01-03,11:36,A,HB33,5,367.5525,17.5025,Ewallet
250-17-5703,2019-02-27,18:24,A,FB135,10,197.925,9.425,Ewallet
250-81-7186,2019-02-27,10:23,C,EA109,1,104.6745,4.9845,Credit card
252-56-2699,2019-02-07,16:48,A,FB2,10,453.495,21.595,Ewallet
253-12-6086,2019-03-12,12:43,A,ST47,7,723.24,34.44,Credit card
254-31-0042,2019-03-06,12:46,A,EA66,9,203.175,9.675,Credit card
256-08-8343,2019-03-04,19:48,A,HL71,4,237.426,11.306,Ewallet
256-58-3609,2019-03-18,15:29,C,FA168,1,96.579,4.599,Cash
257-60-7754,2019-01-08,17:12,A,EA130,4,210.966,10.046,Cash
257-73-1380,2019-01-20,16:51,C,ST70,4,348.306,16.586,Ewallet
258-69-7810,2019-01-26,18:53,C,FA105,5,193.4625,9.2125,Cash
258-92-7466,2019-02-06,18:33,A,HB105,5,187.32,8.92,Credit card
261-12-8671,2019-01-25,19:39,B,FA59,2,128.016,6.096,Credit card
262-47-2794,2019-03-06,15:07,B,HL23,8,603.624,28.744,Credit card
263-10-3913,2019-01-09,14:20,C,FA10,9,463.428,22.068,Credit card
263-12-5321,2019-02-27,12:52,A,EA126,7,680.61,32.41,Credit card
263-87-5680,2019-03-18,17:38,C,HL35,10,299.565,14.265,Ewallet
266-20-6657,2019-03-12,19:39,C,FB124,7,404.544,19.264,Ewallet
266-76-6436,2019-03-28,13:57,C,FB71,3,121.59,5.79,Ewallet
267-62-7380,2019-03-29,19:12,C,EA166,10,864.57,41.17,Ewallet
268-03-6164,2019-01-25,16:28,B,HB67,1,100.9155,4.8055,Ewallet
268-20-3585,2019-02-04,12:50,C,HB104,9,130.8825,6.2325,Ewallet
268-27-6179,2019-03-09,14:57,B,FA20,8,474.348,22.588,Ewallet
269-04-5750,2019-02-21,18:31,B,FA36,4,310.044,14.764,Cash
269-10-8440,2019-01-21,18:01,A,HB70,7,390.7995,18.6095,Cash
271-77-8740,2019-01-01,11:40,C,ST149,6,184.086,8.766,Ewallet
271-88-8734,2019-02-08,13:00,C,FA70,10,1020.705,48.605,Credit card
272-27-9238,2019-02-19,16:23,C,FB62,4,173.208,8.248,Cash
272-65-1806,2019-01-15,17:17,A,EA8,9,575.316,27.396,Ewallet
273-16-6619,2019-03-15,12:20,B,HL4,2,69.72,3.32,Credit card
273-84-2164,2019-02-16,15:53,C,EA105,5,63.2625,3.0125,Ewallet
274-05-5470,2019-02-23,18:30,A,FB121,4,308.574,14.694,Cash
275-28-0149,2019-02-25,16:21,A,ST33,1,66.8745,3.1845,Cash
276-54-0879,2019-03-12,19:53,B,ST54,4,410.508,19.548,Ewallet
276-75-6884,2019-03-04,10:05,A,HB123,3,216.4365,10.3065,Cash
277-35-5865,2019-03-09,11:23,C,FB107,9,935.2665,44.5365,Cash
277-63-2961,2019-02-03,15:53,B,ST86,1,77.6685,3.6985,Credit card
278-86-2735,2019-03-27,14:03,A,FB102,3,164.871,7.851,Cash
278-97-7759,2019-02-18,20:29,A,EA47,1,65.604,3.124,Cash
279-62-1445,2019-02-21,12:38,C,FA34,1,13.167,0.627,Cash
279-74-2924,2019-01-04,19:40,B,EA23,1,75.7785,3.6085,Cash
280-17-4359,2019-01-25,13:48,C,HB26,10,950.25,45.25,Cash
280-35-5823,2019-01-17,18:45,B,HL7,1,91.056,4.336,Ewallet
282-35-2475,2019-03-25,17:53,B,ST87,2,195.951,9.331,Cash
283-26-5248,2019-01-30,20:23,C,FB93,10,1034.46,49.26,Ewallet
283-79-9594,2019-01-25,13:30,B,FB45,7,356.5485,16.9785,Credit card
284-34-9626,2019-02-11,10:39,B,HL31,3,242.676,11.556,Credit card
284-54-4231,2019-01-19,16:08,C,ST109,1,84.9765,4.0465,Credit card
285-68-5083,2019-02-15,17:47,C,ST10,3,77.931,3.711,Credit card
286-01-5402,2019-03-30,13:22,A,ST52,7,295.6905,14.0805,Cash
286-43-6208,2019-03-16,19:08,C,FB35,9,829.71,39.51,Cash
286-62-6248,2019-01-16,20:03,B,FA89,4,164.682,7.842,Credit card
286-75-7818,2019-01-31,19:48,B,FA74,2,145.068,6.908,Credit card
287-21-9091,2019-01-22,10:55,A,HL13,9,705.6315,33.6015,Ewallet
287-83-1405,2019-02-12,19:01,A,HB81,6,160.209,7.629,Ewallet
288-38-3758,2019-01-25,18:30,C,FA137,3,267.3405,12.7305,Ewallet
288-62-1085,2019-01-09,13:34,A,FA150,5,202.335,9.635,Ewallet
289-15-7034,2019-01-11,10:37,A,ST62,4,345.786,16.466,Credit card
289-65-5721,2019-01-26,19:28,B,FA35,2,170.877,8.137,Cash
290-68-2984,2019-03-16,11:22,A,HL42,4,99.75,4.75,Cash
291-21-5991,2019-03-29,14:28,B,HB78,5,321.7725,15.3225,Cash
291-32-1427,2019-03-05,12:29,B,FA18,5,115.185,5.485,Ewallet
291-55-6563,2019-03-30,12:45,A,HL21,6,216.846,10.326,Ewallet
291-59-1384,2019-02-28,17:38,B,EA138,1,63.315,3.015,Cash
296-11-7041,2019-01-12,20:07,B,HB72,1,28.4235,1.3535,Credit card
299-29-0180,2019-03-09,10:54,B,HL114,7,383.523,18.263,Cash
299-46-1805,2019-01-15,16:19,B,ST2,6,590.436,28.116,Cash
300-71-4605,2019-02-25,11:24,C,EA6,5,451.71,21.51,Ewallet
301-11-9629,2019-01-15,10:43,A,ST72,7,140.385,6.685,Cash
301-81-8610,2019-03-19,19:42,B,FA71,8,213.528,10.168,Credit card
302-15-2162,2019-03-03,10:54,C,HB89,6,293.139,13.959,Credit card
303-96-2227,2019-03-02,17:16,B,HL157,10,1022.49,48.69,Ewallet
305-03-2383,2019-02-15,10:36,A,FB123,3,211.365,10.065,Cash
305-14-0245,2019-03-03,19:00,B,HL27,8,793.716,37.796,Ewallet
305-18-3552,2019-02-12,16:19,B,HL78,10,633.99,30.19,Cash
305-89-2768,2019-01-09,18:43,B,HL150,3,68.985,3.285,Ewallet
307-04-2070,2019-02-05,14:14,A,FA141,1,32.151,1.531,Credit card
307-83-9164,2019-01-25,15:54,A,HL56,4,252.042,12.002,Cash
307-85-2293,2019-03-07,13:58,B,HL24,5,263.97,12.57,Ewallet
308-39-1707,2019-01-26,18:19,A,FA114,1,12.6945,0.6045,Credit card
308-47-4913,2019-03-09,12:45,A,ST64,10,548.73,26.13,Credit card
308-81-0538,2019-02-25,17:16,A,FA93,4,306.81,14.61,Credit card
311-13-6971,2019-02-20,15:18,B,ST156,10,335.895,15.995,Credit card
313-66-9943,2019-03-27,20:29,B,FB157,3,91.8225,4.3725,Credit card
314-23-4520,2019-01-15,20:44,C,HB109,7,597.0405,28.4305,Cash
315-22-5665,2019-02-24,11:38,C,HL2,10,772.38,36.78,Ewallet
316-01-3952,2019-03-13,14:16,A,FB68,5,284.9175,13.5675,Ewallet
316-55-4634,2019-01-26,12:45,B,FB29,5,420.2625,20.0125,Credit card
316-66-3011,2019-01-23,12:35,A,FB147,9,450.1035,21.4335,Cash
316-68-6352,2019-01-21,10:00,A,FB46,2,76.356,3.636,Cash
318-12-0304,2019-01-23,12:20,A,FA109,1,32.1405,1.5305,Ewallet
318-68-5053,2019-02-27,17:55,B,HB19,6,485.037,23.097,Cash
318-81-2368,2019-03-19,12:16,C,EA102,1,48.51,2.31,Cash
319-50-3348,2019-03-11,15:30,B,HL3,2,84.63,4.03,Ewallet
319-74-2561,2019-02-21,16:55,A,EA32,3,298.116,14.196,Cash
320-32-8842,2019-03-17,18:58,C,FB82,1,23.751,1.131,Cash
320-49-6392,2019-03-04,15:44,C,EA63,1,31.752,1.512,Cash
320-85-2052,2019-01-14,10:11,B,ST122,1,36.5505,1.7405,Credit card
321-49-7382,2019-02-15,17:38,B,ST161,1,92.7255,4.4155,Credit card
322-02-2271,2019-02-03,11:46,B,ST117,3,135.3555,6.4455,Cash
324-41-6833,2019-03-03,19:30,C,EA128,8,253.68,12.08,Ewallet
324-92-3863,2019-02-05,18:45,A,EA159,2,43.869,2.089,Cash
325-77-6186,2019-03-08,10:53,A,HL74,10,951.825,45.325,Ewallet
325-89-4209,2019-02-05,19:42,A,FB152,1,92.295,4.395,Ewallet
325-90-8763,2019-01-27,13:58,C,EA80,10,488.985,23.285,Cash
326-71-2155,2019-02-03,10:02,C,ST74,4,310.59,14.79,Cash
326-78-5178,2019-02-03,10:19,C,FB8,7,671.79,31.99,Cash
327-40-9673,2019-01-13,19:51,B,ST111,6,457.38,21.78,Cash
329-62-1586,2019-01-21,18:00,A,FB3,3,172.2105,8.2005,Credit card
333-23-2632,2019-03-28,20:14,A,HB144,7,74.088,3.528,Cash
333-73-7901,2019-03-23,13:24,C,HB9,8,461.328,21.968,Ewallet
334-64-2006,2019-03-24,14:22,A,HL98,2,147.672,7.032,Ewallet
336-78-2147,2019-03-13,19:52,C,HL19,8,536.844,25.564,Credit card
338-65-2210,2019-02-05,19:57,C,HB27,10,720.3,34.3,Cash
339-12-4827,2019-01-05,11:32,B,FA92,1,77.658,3.698,Credit card
339-18-7061,2019-02-13,15:06,C,FA102,2,195.258,9.298,Credit card
339-38-9982,2019-01-13,14:55,B,FA90,2,125.706,5.986,Ewallet
339-96-8318,2019-03-01,19:49,B,FA101,7,597.6285,28.4585,Ewallet
340-21-9136,2019-01-25,11:40,A,ST77,4,168.21,8.01,Cash
340-66-0321,2019-03-25,13:07,A,EA56,4,152.712,7.272,Cash
342-65-4817,2019-01-28,16:47,C,HB34,3,273.42,13.02,Ewallet
343-61-3544,2019-01-29,11:48,B,ST100,10,280.035,13.335,Cash
343-75-9322,2019-01-09,16:34,B,ST147,8,99.54,4.74,Cash
343-87-0864,2019-01-03,10:30,C,HB82,1,79.674,3.794,Credit card
345-08-4992,2019-03-08,15:37,A,HL75,6,214.137,10.197,Credit card
345-68-9016,2019-01-02,16:19,C,ST132,8,266.028,12.668,Credit card
346-12-3257,2019-03-04,16:28,B,EA71,9,181.818,8.658,Cash
346-84-3103,2019-03-02,19:26,B,EA38,5,69.405,3.305,Cash
347-34-2234,2019-02-03,13:40,B,ST11,9,520.4115,24.7815,Ewallet
347-56-2442,2019-02-22,15:33,A,HL158,1,69.111,3.291,Cash
347-72-6115,2019-01-16,18:03,B,ST90,7,666.939,31.759,Credit card
349-97-8902,2019-01-17,10:37,B,FB106,2,121.569,5.789,Ewallet
351-62-0822,2019-02-06,18:07,B,FA1,4,60.816,2.896,Ewallet
354-25-5821,2019-02-08,13:03,B,ST9,6,435.456,20.736,Cash
354-39-5160,2019-02-18,15:39,A,HL21,6,216.846,10.326,Cash
355-34-6244,2019-01-13,19:55,B,FB98,2,152.019,7.239,Credit card
355-53-5943,2019-02-25,14:36,A,EA3,6,433.692,20.652,Ewallet
356-44-8813,2019-01-20,13:45,B,HL94,3,118.062,5.622,Credit card
358-88-9262,2019-02-01,18:43,C,FB91,6,551.124,26.244,Ewallet
359-90-3665,2019-01-14,18:03,B,FA103,4,75.936,3.616,Credit card
359-94-5395,2019-03-15,10:50,B,HB119,1,97.419,4.639,Credit card
360-39-5055,2019-03-09,10:17,C,ST14,5,256.7775,12.2275,Cash
361-59-0574,2019-03-15,14:48,B,ST153,8,760.452,36.212,Credit card
361-85-2571,2019-03-30,10:18,A,ST163,5,469.77,22.37,Cash
362-58-8315,2019-03-25,10:23,C,FA12,5,401.73,19.13,Cash
364-33-8584,2019-03-08,15:27,B,FB115,5,92.5575,4.4075,Cash
364-34-2972,2019-03-30,20:37,C,EA160,3,304.983,14.523,Cash
365-16-4334,2019-02-24,14:26,B,FB162,8,222.012,10.572,Ewallet
365-64-0515,2019-02-12,10:25,A,EA5,5,246.4875,11.7375,Ewallet
366-43-6862,2019-03-25,16:32,B,EA25,4,222.138,10.578,Ewallet
366-93-0948,2019-01-31,10:46,A,EA41,1,69.6675,3.3175,Credit card
369-82-2676,2019-01-15,18:22,B,EA107,5,397.215,18.915,Ewallet
370-41-7321,2019-02-27,17:24,B,HB11,9,535.7205,25.5105,Credit card
370-96-0655,2019-01-09,13:46,C,FA124,6,310.716,14.796,Ewallet
371-85-5789,2019-03-05,10:40,B,HB6,3,277.137,13.197,Ewallet
372-26-1506,2019-01-28,19:24,C,FA69,5,125.055,5.955,Ewallet
372-62-5264,2019-01-16,14:42,C,FB125,9,497.07,23.67,Cash
372-94-8041,2019-02-15,18:03,A,HB56,6,96.138,4.578,Ewallet
373-09-4567,2019-03-14,20:35,C,FB104,10,814.38,38.78,Ewallet
373-14-0504,2019-02-12,14:33,A,ST131,2,150.423,7.163,Ewallet
373-73-7910,2019-02-08,10:37,A,ST1,7,634.3785,30.2085,Ewallet
373-88-1424,2019-02-06,18:44,C,HL149,5,188.0025,8.9525,Ewallet
374-17-3652,2019-02-05,15:26,B,FB56,9,404.649,19.269,Credit card
374-38-5555,2019-02-07,19:30,B,FA172,5,334.4775,15.9275,Ewallet
375-72-3056,2019-01-19,15:58,B,ST102,3,198.639,9.459,Ewallet
376-02-8238,2019-02-02,18:42,B,HL40,8,788.508,37.548,Credit card
376-56-3573,2019-02-02,13:23,C,FA46,4,400.764,19.084,Ewallet
377-79-7592,2019-01-14,14:00,C,EA151,9,423.738,20.178,Credit card
378-07-7001,2019-02-10,18:23,B,EA59,3,151.4835,7.2135,Credit card
378-24-2715,2019-01-20,20:38,B,HL18,2,112.224,5.344,Ewallet
379-17-6588,2019-03-14,11:07,C,FA104,10,625.905,29.805,Cash
380-60-5336,2019-02-24,18:06,A,EA131,10,422.73,20.13,Credit card
380-94-4661,2019-02-07,13:05,C,EA43,4,276.948,13.188,Credit card
