Invoice ID,Customer ID,Rating
191-10-6171,C131,7.5
191-29-0321,C703,5
192-98-7397,C444,9.5
195-06-0432,C968,9.3
196-01-2849,C694,9.5
197-77-7132,C739,6
198-66-9832,C557,9.5
198-84-7132,C426,7
199-75-8169,C64,8.6
200-16-5952,C775,6
200-40-6154,C955,5.7
201-63-8275,C773,5.7
201-86-2184,C371,9.9
207-73-1363,C580,8.1
209-61-0206,C512,6.1
210-30-7976,C751,4.1
210-57-1719,C553,9.7
210-67-5886,C112,7.8
210-74-9613,C729,6.8
211-05-0490,C296,7.5
211-30-9270,C237,4.9
212-62-1842,C104,9.9
213-32-1216,C550,7.3
213-72-6612,C225,6.2
214-17-6927,C154,9.9
214-30-2776,C970,9
217-58-1179,C244,4.2
218-59-9410,C560,8.2
219-22-9386,C123,4.2
219-61-4139,C601,6.4
220-28-1851,C519,9.7
220-68-6701,C806,4.2
221-25-5073,C977,8.5
222-42-0244,C827,7.7
225-32-0908,C92,8.2
225-98-1496,C116,7.1
226-31-3081,C2,9.6
226-34-0034,C926,9
226-71-3580,C288,9.5
227-03-5010,C26,8.5
227-07-4446,C315,4.4
227-50-3718,C590,4.4
227-78-1148,C113,8.4
228-96-1411,C44,7.6
232-11-3025,C69,6.4
232-16-2483,C36,6.8
233-34-0817,C470,8.4
233-67-5758,C996,6.2
234-03-4040,C462,8.7
234-36-2483,C859,5.1
234-65-2137,C167,4.8
235-06-8510,C936,5.1
235-46-8343,C447,8.9
236-27-1144,C534,8.4
236-86-3015,C403,9.8
237-01-6122,C115,9.5
237-44-6163,C831,7.6
238-45-6950,C735,6.4
238-49-0436,C150,4.9
239-10-7476,C145,8
239-36-3640,C221,6.1
239-48-4278,C573,8.3
241-11-2261,C569,5.5
241-72-9525,C139,8.2
241-96-5076,C686,6.4
242-11-3142,C676,4.6
242-55-6721,C55,6.5
243-47-2663,C544,5.5
243-55-8457,C933,5.1
244-08-0162,C411,5.1
246-11-3901,C482,6.2
246-55-6923,C921,5.1
247-11-2470,C731,4.4
249-42-3782,C171,5.5
250-17-5703,C759,5.6
250-81-7186,C657,8
252-56-2699,C14,8.2
253-12-6086,C266,8.7
254-31-0042,C370,7.8
256-08-8343,C409,5.5
256-58-3609,C961,9.8
257-60-7754,C808,9
257-73-1380,C437,9.6
258-69-7810,C599,9.2
258-92-7466,C716,6.6
261-12-8671,C372,4.9
262-47-2794,C149,6.2
263-10-3913,C77,8.6
263-12-5321,C794,9.3
263-87-5680,C208,7.8
266-20-6657,C692,5.2
266-76-6436,C421,7.5
267-62-7380,C989,4.3
268-03-6164,C416,7.8
268-20-3585,C714,6
268-27-6179,C125,7.3
269-04-5750,C234,6.7
269-10-8440,C427,8.9
271-77-8740,C840,5
271-88-8734,C423,8.7
272-27-9238,C365,7.1
272-65-1806,C38,4.7
273-16-6619,C23,4.4
273-84-2164,C645,5.5
274-05-5470,C678,6
275-28-0149,C162,6
276-54-0879,C326,6.4
276-75-6884,C824,8.7
277-35-5865,C612,6.7
277-63-2961,C501,5.4
278-86-2735,C587,9.2
278-97-7759,C293,4.7
279-62-1445,C224,8.2
279-74-2924,C157,6.1
280-17-4359,C142,8.1
280-35-5823,C41,7.9
282-35-2475,C504,6.3
283-26-5248,C558,4.5
283-79-9594,C289,5.2
284-34-9626,C191,7.2
284-54-4231,C614,9
285-68-5083,C61,10
286-01-5402,C307,9.6
286-43-6208,C193,9.2
286-62-6248,C527,9
286-75-7818,C431,6.9
287-21-9091,C75,9.4
287-83-1405,C531,7
288-38-3758,C755,7.4
288-62-1085,C837,5.6
289-15-7034,C381,7.5
289-65-5721,C231,6.5
290-68-2984,C254,5.2
291-21-5991,C509,7
291-32-1427,C117,5.3
291-55-6563,C884,7.5
291-59-1384,C842,6
296-11-7041,C449,5.3
299-29-0180,C730,9.3
299-46-1805,C16,4.5
300-71-4605,C21,4.8
301-11-9629,C445,9.7
301-81-8610,C424,6.7
302-15-2162,C591,4.3
303-96-2227,C997,4.4
305-03-2383,C690,7.5
305-14-0245,C187,7.5
305-18-3552,C484,6
305-89-2768,C952,4.7
307-04-2070,C783,4.1
307-83-9164,C299,4.5
307-85-2293,C158,9.7
308-39-1707,C630,8.2
308-47-4913,C394,6.2
308-81-0538,C539,4.9
311-13-6971,C883,9.9
313-66-9943,C911,7.3
314-23-4520,C750,9
315-22-5665,C8,8
316-01-3952,C397,4.6
316-55-4634,C172,9.4
316-66-3011,C860,5
316-68-6352,C294,7.1
318-12-0304,C609,5.2
318-68-5053,C90,6.1
318-81-2368,C638,6.3
319-50-3348,C20,4.4
319-74-2561,C218,5.5
320-32-8842,C464,6.4
320-49-6392,C355,8.4
320-85-2052,C682,7
321-49-7382,C927,5.2
322-02-2271,C661,9.3
324-41-6833,C802,5.1
324-92-3863,C962,9.8
325-77-6186,C430,7.3
325-89-4209,C887,6.7
325-90-8763,C459,7.6
326-71-2155,C463,6.1
326-78-5178,C51,9.5
327-40-9673,C617,6.9
329-62-1586,C19,8.6
333-23-2632,C945,4.2
333-73-7901,C39,7.6
334-64-2006,C600,9.6
336-78-2147,C124,4.6
338-65-2210,C143,9.1
339-12-4827,C537,5
339-18-7061,C583,8
339-38-9982,C528,6.7
339-96-8318,C576,6.3
340-21-9136,C472,9.7
340-66-0321,C330,7.6
342-65-4817,C180,9.9
343-61-3544,C572,8.6
343-75-9322,C833,4.1
343-87-0864,C542,7.1
345-08-4992,C438,7.7
345-68-9016,C745,5.6
346-12-3257,C400,8
346-84-3103,C239,4.3
347-34-2234,C63,10
347-56-2442,C999,4.1
347-72-6115,C511,6.2
349-97-8902,C610,8.9
351-62-0822,C11,4.5
354-25-5821,C43,5.6
354-39-5160,C138,9.8
355-34-6244,C574,8.1
355-53-5943,C7,5.8
356-44-8813,C556,7.7
358-88-9262,C540,5.1
359-90-3665,C584,9.5
359-94-5395,C799,9.8
360-39-5055,C85,6.6
361-59-0574,C867,6.5
361-85-2571,C938,7.4
362-58-8315,C87,9.9
364-33-8584,C639,8.5
364-34-2972,C964,6.7
365-16-4334,C950,8.9
365-64-0515,C13,7.1
366-43-6862,C821,6.7
366-93-0948,C257,9.7
369-82-2676,C651,7.8
370-41-7321,C47,8.4
370-96-0655,C683,7.1
371-85-5789,C22,5.1
372-26-1506,C410,5.4
372-62-5264,C695,7.6
372-94-8041,C323,9.8
373-09-4567,C603,6.9
373-14-0504,C743,8.8
373-73-7910,C5,5.3
373-88-1424,C949,7.9
374-17-3652,C340,8.9
374-38-5555,C986,8.5
375-72-3056,C585,7
376-02-8238,C245,8.3
376-56-3573,C278,6.4
377-79-7592,C901,7.5
378-07-7001,C341,7.8
378-24-2715,C120,4.1
379-17-6588,C589,5.3
380-60-5336,C812,5
380-94-4661,C260,6.9
381-20-0914,C78,5.7
382-03-4532,C70,4.3
382-25-8917,C374,8.9
384-59-6655,C960,8.4
386-27-7606,C737,8.1
387-49-4215,C507,6.7
388-76-2555,C768,6.3
389-25-3394,C223,9.4
389-70-2397,C891,7.2
390-17-5806,C746,8.6
390-31-6381,C581,7.3
390-80-5128,C446,9.5
393-65-2792,C71,9.6
394-30-3170,C442,4.3
394-41-0748,C389,9.5
394-43-4238,C205,5.4
394-55-6384,C691,6.7
396-90-2219,C305,8.6
397-25-8725,C928,6.8
399-46-5918,C56,8.2
399-69-4630,C554,8.6
400-45-1220,C350,4.8
400-60-7251,C189,9.9
400-80-4065,C792,9.2
400-89-4171,C155,9.3
401-09-4232,C800,9.4
401-18-8016,C499,8.9
404-91-5964,C786,9
405-31-3305,C473,5.5
406-46-7107,C758,4.5
407-63-8975,C179,4.4
408-26-9866,C570,4.1
408-66-6712,C669,4.4
409-33-9708,C852,9.2
409-49-6995,C898,8.8
410-67-1709,C763,9.9
411-77-0180,C306,4.3
413-20-6708,C516,8.5
414-12-7047,C175,8.7
416-13-5917,C344,9.3
416-17-9926,C830,4.3
418-02-5978,C233,8
418-05-0656,C721,7.1
420-04-7590,C634,4.7
420-11-4919,C200,5.5
420-18-8989,C500,9.6
420-97-3340,C621,9.2
421-95-9805,C611,6.2
422-29-8786,C375,9.1
423-57-2993,C160,10
423-64-4619,C314,5
423-80-0988,C164,6.5
425-85-2085,C517,9.8
426-39-2418,C203,9.8
427-45-9297,C835,5.4
428-83-5800,C317,7.3
430-02-3888,C958,7.1
430-53-4718,C990,8.4
430-60-3493,C290,4.2
431-66-2305,C929,7.6
433-08-7822,C937,7.5
433-75-6987,C342,8.9
434-35-9162,C725,7.4
434-83-9547,C182,7.7
435-13-4908,C532,7.2
436-54-4512,C622,9.8
437-53-3084,C495,7.1
437-58-8131,C192,4.6
438-01-4015,C486,6.6
438-23-1242,C734,8.9
439-54-7422,C304,4.7
440-59-5691,C467,7.7
441-94-7118,C347,7.3
442-44-6497,C727,5.9
442-48-3607,C334,7.9
443-59-0061,C615,4.2
443-60-9639,C797,5.5
443-82-0585,C582,8.4
445-30-9252,C710,6.1
446-47-6729,C301,6.7
447-15-7839,C264,4.2
448-34-8700,C972,6.7
448-61-3783,C879,4.5
448-81-5016,C242,5.8
449-16-6770,C944,5.3
449-27-2918,C450,9.6
450-28-2866,C441,8.1
450-42-3339,C907,8.8
451-28-5717,C522,7.3
451-73-2711,C742,8.8
452-04-8808,C973,5.5
453-12-7053,C448,6.5
453-33-6436,C913,6.8
453-63-6187,C359,6.5
457-12-0244,C925,6.5
457-13-1708,C747,5.2
457-94-0464,C780,5.6
458-10-8612,C934,7.6
458-41-1477,C146,9.5
458-61-0011,C577,5.8
459-45-2396,C915,5.8
459-50-7686,C433,6.4
460-35-4390,C541,9.1
460-93-5834,C886,5
462-67-9126,C364,7.2
462-78-5240,C382,4.2
466-61-5506,C229,5.3
468-01-2051,C222,5.4
468-88-0009,C368,6
468-99-7231,C784,8.8
470-31-3286,C596,8.7
470-32-9057,C465,9.1
471-06-8611,C774,6.3
471-41-2823,C363,8
472-15-9636,C415,9.2
474-33-8305,C803,6.9
477-24-6490,C275,7.9
477-59-2456,C817,9.2
478-06-7835,C240,4.9
479-26-8945,C111,4.6
480-63-2856,C83,6.6
482-17-1179,C718,8.1
483-71-1164,C135,5.3
484-22-8230,C605,4.5
485-30-8700,C477,4.2
487-79-6868,C749,8
488-25-4221,C144,8.4
489-64-4354,C425,5
489-82-1237,C946,7.3
490-29-1201,C283,6.5
490-95-0021,C881,6
491-38-3499,C660,4.9
493-65-6248,C485,7
497-36-0989,C841,7.9
497-37-6538,C790,9.7
498-41-1961,C286,7.6
499-27-7781,C816,5
500-02-2261,C940,5.9
501-61-1753,C935,9.8
502-05-1910,C476,6.3
503-07-0930,C515,8.2
503-21-4385,C951,9.3
504-35-8843,C89,5.7
505-02-0892,C166,5.6
509-10-0516,C902,5.1
509-29-3912,C616,4.2
510-09-5628,C492,7.2
510-79-0415,C685,4.9
510-95-6347,C73,4
511-54-3087,C505,9.5
512-91-0811,C95,6.6
512-98-1403,C309,4.7
514-37-2845,C565,9
516-77-6464,C785,4.1
518-17-2983,C666,7.6
518-71-6847,C978,4.9
521-18-7827,C518,8.7
522-57-8364,C914,7.6
523-38-0215,C282,7.9
525-09-8450,C762,4.2
525-88-7307,C386,5.8
526-86-8552,C277,7.1
527-09-6272,C336,9.1
528-14-9470,C834,9.2
528-87-5606,C681,6.5
529-56-3974,C12,6.8
530-90-9855,C246,5.7
531-56-4728,C974,5.4
531-80-1784,C349,5.1
532-59-7201,C311,5.5
533-33-5337,C458,6.2
533-66-5566,C864,7
534-01-4457,C525,8
534-53-3526,C782,7.8
537-72-0426,C279,5.7
538-22-0304,C829,5.2
539-21-7227,C549,4.2
540-11-4336,C241,5.6
541-08-3113,C481,8.4
541-48-8554,C548,6
541-89-9860,C391,8.1
542-41-0513,C202,6.6
544-32-5024,C608,6.4
544-55-9589,C873,6.2
545-07-8534,C905,6
545-46-3100,C232,8.7
546-80-2899,C744,9.5
548-46-9322,C165,5.9
548-48-3156,C885,7.6
549-03-9315,C219,8.7
549-23-9016,C844,8.9
549-59-1358,C25,6
549-84-7482,C130,7.2
549-96-4200,C439,7
550-84-8664,C575,8.6
551-21-3069,C103,4.9
552-44-5977,C988,6.2
554-42-2417,C358,5.2
554-53-3790,C468,4.5
554-53-8700,C42,6.3
556-41-6224,C674,9.3
556-72-8512,C489,4.3
556-86-3144,C196,5
556-97-7101,C497,8.5
558-60-5016,C967,7.2
558-80-4082,C292,6
559-61-5987,C809,8.6
559-98-9873,C607,5.2
560-30-5617,C217,8.5
560-49-6611,C593,9.8
562-12-5430,C658,7.9
563-36-9814,C393,7.2
563-47-4072,C652,9.9
563-91-7120,C324,6.7
565-17-3836,C285,9.1
565-67-6697,C354,4.8
565-80-5980,C91,7.1
565-91-4567,C811,6.2
566-19-5475,C276,6.2
566-71-1091,C333,5.5
568-88-3448,C454,5.5
568-90-5112,C148,5.6
569-71-4390,C412,6.9
569-76-2760,C826,6.6
571-94-0759,C268,9.5
573-10-3877,C302,4.7
573-58-9734,C209,5.1
573-98-8548,C502,9.1
574-22-5561,C50,7.9
574-31-8277,C648,5.6
574-57-9721,C432,5.7
574-80-1489,C953,8.7
575-30-8091,C140,9.2
575-67-1508,C480,6.7
576-31-4774,C673,4
577-34-7579,C957,5.4
578-80-7669,C360,5.6
582-52-8065,C552,8.9
583-41-4548,C536,7.4
583-72-1480,C228,9.7
584-66-4073,C872,9.6
584-86-7256,C152,7.3
585-03-5943,C295,5.9
585-11-6748,C595,5.3
585-86-8361,C752,8.6
585-90-0249,C847,9.7
586-25-0848,C185,6.7
587-03-7455,C405,4.9
587-73-4862,C764,7.6
588-01-7461,C109,4.2
588-47-8641,C671,4.4
589-02-8023,C633,7
590-83-4591,C134,8.8
592-34-6155,C578,6.2
592-46-1692,C724,7.4
593-08-5916,C963,7.4
593-14-4239,C766,4.7
593-65-1552,C190,5.9
593-95-4461,C287,6.9
594-34-4444,C96,7.2
595-11-5460,C34,5.1
595-27-4851,C513,9.3
595-86-2894,C379,9.4
595-94-9924,C903,4.2
596-42-3999,C390,6.6
597-78-7908,C136,6.2
598-06-7312,C625,6.8
598-47-9715,C478,4.4
600-38-9738,C520,4.3
602-16-6955,C992,6
602-80-9671,C510,5.1
603-07-0961,C318,4.9
604-70-6476,C248,6.8
605-03-2706,C969,9.5
605-72-4132,C362,9.1
605-83-1050,C796,4.3
606-80-4905,C201,6.8
607-65-2441,C736,6
607-76-6216,C893,8.6
608-04-3797,C493,8.7
608-05-3804,C878,6.1
608-27-6295,C174,9.8
608-96-3517,C151,4.8
609-81-8548,C523,5.9
610-46-4100,C637,6
612-36-5536,C361,7.4
613-59-9758,C369,5.4
616-24-2851,C53,6.5
616-87-0016,C434,9.6
617-15-4209,C45,7.2
618-34-8551,C807,8.5
620-02-2046,C503,9
622-20-1945,C322,8.4
624-01-8356,C910,4.2
626-43-7888,C701,9.6
627-95-3243,C490,9.8
628-34-3388,C107,7.9
628-90-8624,C628,5
629-42-4133,C781,8.3
630-74-5166,C108,7.4
631-34-1880,C869,4.3
631-41-3108,C3,7.4
632-32-4574,C496,5.5
632-90-0281,C357,9.3
633-09-3463,C339,9.5
633-44-8566,C88,7.3
633-91-1052,C274,5.1
634-97-8956,C332,9.1
635-28-5728,C732,4.8
635-40-6220,C58,6.6
636-17-0325,C832,9.5
636-48-8204,C24,9.9
636-98-3364,C920,6.3
638-60-7125,C121,5.2
639-76-1242,C461,4.5
640-48-5028,C705,6.3
640-49-2076,C33,5.1
641-43-2399,C194,5.7
641-51-2661,C664,9.9
641-62-7288,C931,7.1
641-96-3695,C620,8.5
642-30-6693,C604,7.8
642-32-2990,C119,6
642-61-4706,C672,5.5
643-38-7867,C538,6.9
645-44-1170,C114,4.3
645-78-8093,C236,4.1
647-50-1224,C547,8.9
648-83-1321,C688,4.3
648-94-3045,C679,8.1
649-11-3678,C321,5.5
649-29-6775,C27,6.7
650-98-6268,C428,8
651-61-0874,C402,6.2
651-88-7328,C568,7.7
651-96-5970,C791,4
652-43-6591,C756,6.2
652-49-6720,C995,5.9
655-07-2265,C632,5.4
655-85-5130,C263,5.7
656-16-1063,C214,4.4
656-95-9349,C17,4.6
658-66-3967,C853,5
659-36-1684,C122,6.5
659-65-8956,C118,5.2
660-29-7083,C839,5.8
662-47-5456,C252,8.4
662-72-2873,C385,9.9
663-86-9076,C129,8.5
664-14-2882,C748,5.8
665-32-9167,C9,7.2
665-63-9737,C640,7.5
667-23-5919,C376,7
667-92-0055,C284,8.5
668-90-8900,C126,4.5
669-54-1719,C49,8.1
670-71-7306,C838,5.1
670-79-6321,C623,4.9
672-51-8681,C207,9.7
674-15-9296,C483,5
674-56-6360,C814,6
676-10-2200,C948,4.7
676-39-6028,C475,6.6
677-11-0152,C212,8.8
678-79-0726,C722,5.1
679-22-6530,C670,4.1
685-64-1609,C147,9.2
686-41-0932,C491,8.2
687-15-1097,C272,9.7
687-47-8271,C168,8.7
689-05-1884,C693,8.8
689-16-9784,C387,6
690-01-6631,C994,6.6
692-27-8933,C338,5.2
692-92-5582,C10,5.9
695-09-5146,C641,6.4
695-28-6250,C588,7.7
695-51-0018,C133,7.4
696-90-2548,C414,6.6
698-98-5964,C566,6.3
699-01-4164,C199,8.2
699-14-3026,C6,4.1
699-88-1972,C896,4.2
700-81-1757,C137,8.8
701-23-5550,C546,4.9
701-69-8742,C479,6.7
702-72-0487,C795,6.6
702-83-5291,C942,6.6
704-10-4056,C789,5.6
704-11-6354,C255,8.9
704-20-4138,C319,8.1
704-48-3927,C106,7.3
706-36-6154,C646,8.7
707-32-7409,C771,4.5
709-58-4068,C487,7.3
710-46-4433,C457,4.5
711-31-1234,C769,7.9
712-39-0363,C559,5.6
714-02-3114,C665,7.7
715-20-1673,C894,9.4
716-39-1409,C105,8
717-96-4189,C916,4.1
718-57-9773,C567,9.4
719-76-3868,C328,8.6
719-89-8991,C526,7.1
720-72-2436,C941,6.9
721-86-6247,C230,7.4
722-13-2115,C917,9.3
725-32-9708,C408,4.1
725-54-0677,C899,5.3
725-56-0833,C388,10
725-67-2480,C663,5.9
725-96-3778,C348,4.7
726-27-2396,C396,4.3
726-29-6793,C506,9.8
727-02-1313,C998,7.7
727-17-0390,C453,4.8
727-46-3608,C48,4.1
727-75-6477,C297,6.4
728-47-9078,C981,9.8
728-88-7867,C712,8.3
729-06-2010,C704,9.2
729-09-9681,C258,8.7
729-46-7422,C460,7.9
730-50-9884,C86,4
730-61-8757,C329,4
730-70-9830,C373,5.2
731-14-2199,C270,7
731-59-7531,C474,4.6
731-81-9469,C141,5.4
732-04-5373,C188,7
732-67-5346,C407,7.8
732-94-0499,C76,5.4
733-01-9107,C100,7.4
733-29-1227,C741,8.5
733-33-4967,C173,6.3
734-91-1155,C521,7.7
735-06-4124,C303,4.4
735-32-9839,C715,8.5
737-88-5876,C875,5.9
740-11-5257,C650,7.1
740-22-2500,C422,9.8
741-73-3559,C429,6.9
742-04-5161,C653,7.3
743-04-1105,C159,6
743-88-1662,C378,8.7
744-02-5987,C298,5.8
744-09-5786,C452,7.6
744-16-7898,C793,4.9
744-82-9138,C975,8.2
745-71-3520,C420,8.2
745-74-0715,C993,8.8
746-04-1077,C971,9
746-19-0921,C469,7.2
746-54-5508,C325,9.4
746-68-6593,C226,9.7
746-94-0204,C153,7.4
747-58-7183,C551,6.5
748-45-2862,C858,8.2
749-24-1565,C206,7.9
749-81-8133,C918,6.8
750-57-9686,C417,8.7
750-67-8428,C1,9.1
751-15-6198,C801,7.9
751-41-9720,C700,8
751-69-0068,C436,9
752-23-3760,C677,7.3
755-12-3214,C238,8.6
756-01-7507,C80,6
756-49-0168,C733,9.5
756-93-1854,C932,9.5
759-29-9521,C804,8
759-98-4285,C772,8
760-27-5490,C709,9.1
760-53-9233,C828,8.5
760-54-1821,C398,5.8
760-90-2357,C564,5
761-49-0439,C880,8.6
764-44-8999,C987,4.3
765-26-6951,C18,6.9
766-85-7061,C97,5.1
767-05-1286,C471,5.4
767-54-1907,C456,6.9
767-97-4650,C687,8
770-42-8960,C857,6.3
775-72-1988,C754,8.4
776-68-1096,C723,7.9
777-67-2495,C919,8.7
777-82-7220,C40,7.7
778-34-2523,C815,5
778-71-5554,C54,6.1
778-89-7974,C647,7.4
779-06-0012,C300,7.7
779-42-2410,C667,7.7
781-84-8059,C897,5
782-95-9291,C156,9
783-09-1637,C271,6.3
784-08-0310,C954,7.6
784-21-9238,C823,5.9
785-13-7708,C250,4.2
785-96-0615,C757,4.9
786-94-2700,C711,9.1
787-15-1757,C320,8.4
787-56-0757,C84,8.3
787-87-2010,C765,6.6
788-07-8452,C592,9.4
788-21-5741,C719,7.2
789-23-8625,C613,7.2
790-29-1172,C220,7.9
790-38-4466,C788,9.3
793-10-3222,C399,8.3
794-32-2436,C643,6
794-42-3736,C965,6.4
795-49-7276,C488,8.3
796-12-2025,C72,5.9
796-32-9050,C169,6.5
797-88-0493,C579,7.7
799-71-1548,C249,8.8
800-09-8606,C696,6.6
801-88-0346,C767,9.8
802-43-8934,C216,8.3
802-70-5316,C132,8.3
803-17-8013,C308,4.1
803-83-5989,C62,7
804-38-3935,C846,5.9
805-86-0265,C740,9.8
807-14-7833,C753,7
807-34-3742,C836,5.8
808-65-0703,C267,6.9
809-46-1866,C982,8.4
809-69-9497,C943,5.7
810-60-6344,C440,6.5
811-03-8790,C675,4.8
811-35-1094,C895,8.9
815-04-6282,C813,6.5
815-11-1168,C327,5.4
816-57-2053,C627,8.7
816-72-8853,C659,5.9
817-48-8732,C59,5.4
817-69-8206,C210,6.5
821-07-3596,C262,5.6
821-14-9046,C720,6.1
824-88-3614,C184,5.7
825-94-5922,C930,7.2
826-58-8051,C698,4.3
827-26-2100,C176,8.8
827-44-5872,C529,6.1
827-77-7633,C530,9.3
828-46-6863,C619,4
828-61-5674,C280,9.6
829-34-3910,C15,5.7
829-49-1914,C79,6.6
830-58-2383,C606,8.6
831-07-6050,C195,9.9
831-64-0259,C404,9.6
831-81-6575,C805,8
832-51-6761,C818,9.6
834-25-9262,C366,9.1
834-45-5519,C707,7.6
834-61-8124,C352,5.5
834-83-1826,C571,7.6
835-16-0096,C335,8.5
836-82-5858,C227,4
837-55-7229,C435,6.8
838-02-1821,C923,5.2
838-78-4295,C67,6.7
840-19-2096,C618,4.4
840-76-5966,C862,7.8
841-18-8232,C545,9.2
841-35-6630,C74,8.7
842-29-4695,C662,7.9
842-40-8179,C761,5.6
843-01-4703,C377,9.6
843-73-4724,C851,9.2
845-51-0542,C251,6.4
845-94-6841,C849,4
846-10-0341,C956,6.8
847-38-7188,C82,6.4
848-07-1692,C419,8.3
848-24-9445,C197,4.9
848-42-2560,C310,7.8
848-62-7243,C30,7.4
848-95-6252,C861,7
849-09-3807,C1000,6.6
850-41-9669,C261,6.2
851-28-6367,C183,8
851-98-3555,C908,6.6
852-62-7105,C624,4.4
852-82-2749,C870,9.3
853-23-2453,C65,7.6
856-22-8149,C198,6.1
856-66-2701,C629,7.5
857-16-3520,C717,4.5
857-67-9057,C533,8.2
859-71-0933,C649,6.3
859-97-6048,C947,5.3
860-73-6466,C843,5
860-79-0874,C351,6.6
861-77-0145,C110,9.2
862-17-9201,C508,7.7
862-29-5914,C848,8.6
862-59-8517,C498,6.2
864-24-7918,C798,8.1
865-41-9075,C904,8.1
865-92-6136,C99,9.3
866-05-7563,C247,4.8
866-70-2814,C854,10
866-99-7614,C562,4.4
867-47-1948,C959,7.8
868-06-0466,C699,7.8
868-52-7573,C383,9.9
868-81-1752,C331,6.8
869-11-3082,C819,8.4
870-54-3162,C127,9
870-72-4431,C81,5.5
870-76-1733,C313,4.4
871-39-9221,C98,4.1
871-79-8483,C31,4.8
873-14-6353,C871,7.1
873-51-0671,C93,5.1
873-95-4984,C343,7.7
875-31-8302,C778,9.6
875-46-5808,C204,8.7
877-22-3308,C66,5.8
878-30-2331,C466,7.1
880-35-0356,C594,4.8
880-46-5796,C890,5.6
881-41-7302,C602,4.5
882-40-4577,C406,8
883-17-4236,C253,7.2
883-69-1285,C976,7
884-80-6021,C888,9.5
885-17-6250,C395,7.3
885-56-0389,C877,4
886-18-2897,C991,4.5
886-54-6089,C770,7.7
886-77-9084,C787,5.5
887-42-0517,C924,6.6
888-02-0338,C211,5.9
889-04-9723,C356,7.8
891-01-7034,C451,6.7
891-58-8335,C215,6.5
892-05-6689,C535,6.2
894-41-5205,C161,8.3
895-03-6665,C856,4.2
895-66-0685,C186,8
896-34-0956,C845,5.9
898-04-2717,C337,7.5
