Invoice ID,cogs,gross income,gross margin percentage
548-46-9322,399,19.95,4.76190476
548-48-3156,166.68,8.334,4.76190476
549-03-9315,758.96,37.948,4.76190476
549-23-9016,29.74,1.487,4.76190476
549-59-1358,265.89,13.2945,4.76190476
549-84-7482,812.52,40.626,4.76190476
549-96-4200,68.16,3.408,4.76190476
550-84-8664,429.55,21.4775,4.76190476
551-21-3069,207.63,10.3815,4.761904762
552-44-5977,496,24.8,4.761904762
554-42-2417,954.4,47.72,4.76190476
554-53-3790,222.12,11.106,4.76190476
554-53-8700,112.22,5.611,4.761904762
556-41-6224,269.12,13.456,4.761904762
556-72-8512,22.96,1.148,4.761904762
556-86-3144,74.29,3.7145,4.76190476
556-97-7101,126.44,6.322,4.761904762
558-60-5016,299.7,14.985,4.761904762
558-80-4082,194.95,9.7475,4.761904762
559-61-5987,17.75,0.8875,4.761904762
559-98-9873,375.55,18.7775,4.76190476
560-30-5617,123.85,6.1925,4.76190476
560-49-6611,45.58,2.279,4.76190476
562-12-5430,264.45,13.2225,4.76190476
563-36-9814,76.82,3.841,4.761904762
563-47-4072,334.86,16.743,4.761904762
563-91-7120,308.85,15.4425,4.76190476
565-17-3836,190.68,9.534,4.761904762
565-67-6697,243,12.15,4.761904762
565-80-5980,189.52,9.476,4.761904762
565-91-4567,86,4.3,4.761904762
566-19-5475,335.79,16.7895,4.76190476
566-71-1091,385.1,19.255,4.76190476
568-88-3448,25,1.25,4.761904762
568-90-5112,264.56,13.228,4.761904762
569-71-4390,43.74,2.187,4.76190476
569-76-2760,88.04,4.402,4.76190476
571-94-0759,746,37.3,4.76190476
573-10-3877,39.01,1.9505,4.761904762
573-58-9734,91.11,4.5555,4.76190476
573-98-8548,31.9,1.595,4.76190476
574-22-5561,826.3,41.315,4.76190476
574-31-8277,33.63,1.6815,4.76190476
574-57-9721,86.54,4.327,4.76190476
574-80-1489,251.4,12.57,4.76190476
575-30-8091,580,29,4.76190476
575-67-1508,38.6,1.93,4.761904762
576-31-4774,220.23,11.0115,4.761904762
577-34-7579,454.41,22.7205,4.76190476
578-80-7669,74.97,3.7485,4.76190476
582-52-8065,488.79,24.4395,4.76190476
583-41-4548,116.69,5.8345,4.761904762
583-72-1480,148.24,7.412,4.761904762
584-66-4073,56.5,2.825,4.76190476
584-86-7256,241.92,12.096,4.76190476
585-03-5943,181.1,9.055,4.761904762
585-11-6748,290.4,14.52,4.76190476
585-86-8361,136.4,6.82,4.76190476
585-90-0249,73.26,3.663,4.761904762
586-25-0848,86.38,4.319,4.76190476
587-03-7455,684.53,34.2265,4.76190476
587-73-4862,53.45,2.6725,4.761904762
588-01-7461,305.82,15.291,4.76190476
588-47-8641,560.4,28.02,4.76190476
589-02-8023,167.54,8.377,4.76190476
590-83-4591,524.7,26.235,4.761904762
592-34-6155,127.08,6.354,4.76190476
592-46-1692,257.39,12.8695,4.76190476
593-08-5916,15.5,0.775,4.76190476
593-14-4239,763.68,38.184,4.761904762
593-65-1552,279.24,13.962,4.761904762
593-95-4461,74.86,3.743,4.761904762
594-34-4444,97.16,4.858,4.761904762
595-11-5460,193.16,9.658,4.761904762
595-27-4851,379.96,18.998,4.76190476
595-86-2894,387.92,19.396,4.76190476
595-94-9924,138.65,6.9325,4.761904762
596-42-3999,127.54,6.377,4.76190476
597-78-7908,270.66,13.533,4.76190476
598-06-7312,91.35,4.5675,4.76190476
598-47-9715,336.28,16.814,4.761904762
600-38-9738,359.6,17.98,4.76190476
602-16-6955,766,38.3,4.76190476
602-80-9671,95.7,4.785,4.761904762
603-07-0961,373.95,18.6975,4.761904762
604-70-6476,89.7,4.485,4.76190476
605-03-2706,47.4,2.37,4.761904762
605-72-4132,755.76,37.788,4.76190476
605-83-1050,54.36,2.718,4.76190476
606-80-4905,114.9,5.745,4.76190476
607-65-2441,819.5,40.975,4.761904762
607-76-6216,462.45,23.1225,4.76190476
608-04-3797,202.56,10.128,4.761904762
608-05-3804,39.75,1.9875,4.761904762
608-27-6295,317.34,15.867,4.761904762
608-96-3517,366.16,18.308,4.76190476
609-81-8548,224.64,11.232,4.761904762
610-46-4100,202.65,10.1325,4.761904762
612-36-5536,647.68,32.384,4.76190476
613-59-9758,143.6,7.18,4.76190476
616-24-2851,71.48,3.574,4.76190476
616-87-0016,668.78,33.439,4.76190476
617-15-4209,30.74,1.537,4.761904762
618-34-8551,186.36,9.318,4.76190476
620-02-2046,138.8,6.94,4.761904762
622-20-1945,39.42,1.971,4.761904762
624-01-8356,490.1,24.505,4.761904762
626-43-7888,483.28,24.164,4.76190476
627-95-3243,699.12,34.956,4.761904762
628-34-3388,164.28,8.214,4.76190476
628-90-8624,825.8,41.29,4.761904762
629-42-4133,174.4,8.72,4.761904762
630-74-5166,372.78,18.639,4.76190476
631-34-1880,72.93,3.6465,4.76190476
631-41-3108,324.31,16.2155,4.761904762
632-32-4574,607.36,30.368,4.76190476
632-90-0281,375.5,18.775,4.76190476
633-09-3463,142.95,7.1475,4.761904762
633-44-8566,345.66,17.283,4.76190476
